image_url, title, brand, price
https://c1.neweggimages.com/ProductImageCompressAll300/14-137-055-08.jpg,MSI GeForce GTX 1050 Ti 4GB GDDR5 PCI Express 3.0 x16 ATX Video Card GTX 1050 Ti 4GT OC,MSI,$279.99
https://c1.neweggimages.com/ProductImageCompressAll300/14-932-416-V01.jpg,GIGABYTE Radeon RX 6700 XT GAMING OC 12G Graphics Card- WINDFORCE 3X Cooling System- 12GB 192-bit GDDR6- GV-R67XTGAMING OC-12GD Video Card,GIGABYTE,$1,099.50
https://c1.neweggimages.com/ProductImageCompressAll300/AZUES210617UyeXt.jpg,Yeston Radeon RX6800XT 16GB D6 GDDR6 256bit 7nm Desktop computer PC Video Graphics Cards support PCI-Express 4.0 2*DP+1*HDMI-compatible +1*Type c  RGB light effect Fragrant graphics card,yeston,$1,599.00
https://c1.neweggimages.com/ProductImageCompressAll300/AZUES210721mdPiJ.jpg,Yeston GeForce GT730 4GB DDR3Graphics cards Nvidia PCI Express 2.0 Desktop computer PC video gaming graphics card,yeston,$99.00
https://c1.neweggimages.com/ProductImageCompressAll300/14-932-004-Z01.jpg,GIGABYTE GeForce GT 1030 2GB GDDR5 PCI Express 3.0 x16 Video Card GV-N1030OC-2GI,GIGABYTE,$89.54
https://c1.neweggimages.com/ProductImageCompressAll300/AZUES210730TyKvO.jpg,Yeston Radeon RX550 4GB GDDR5 1183MHz 512processors PCIExpress 3.0 DirectX12 Single Slot 4*HDMI compatible graphics card of Desktop,yeston,$189.00
https://c1.neweggimages.com/ProductImageCompressAll300/14-137-672-V02.jpg,MSI Gaming GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ti Gaming X 8G LHR,MSI,$1,103.87
https://c1.neweggimages.com/ProductImageCompressAll300/14-126-349-V01.jpg,ASUS GeForce RTX 2060 Overclocked 6G GDDR6 Dual-Fan EVO Edition VR Ready HDMI DisplayPort DVI Graphics Card (DUAL-RTX2060-O6G-EVO),ASUS,$787.09
https://c1.neweggimages.com/ProductImageCompressAll300/14-137-054-07.jpg,MSI Gaming GeForce GTX 1050 Ti 4GB GDDR5 PCI Express 3.0 x16 ATX Video Card GTX 1050 Ti GAMING X 4G,MSI,$387.99
https://c1.neweggimages.com/ProductImageCompressAll300/83-360-190-01.jpg,ABS Master Gaming PC - Intel i7 11700F - GeForce RTX 3060 Ti - 16GB DDR4 3000MHz - 1TB M.2 NVMe SSD,ABS,$1,649.99
https://c1.neweggimages.com/ProductImageCompressAll300/A4RE_131677382269830228ppQ18tSdis.jpg,CORN AMD Radeon HD6450 2GB 64Bit GDDR3 Graphic Card Video Card GPU DirectX 11 PCI Express 2.1 16X DVI-D/VGA/HDMI,Corn Electronics,$64.99
https://c1.neweggimages.com/ProductImageCompressAll300/A23XS200801BLzc1.jpg,Biostar Gaming Radeon RX 550 4GB GDDR5 128-Bit DirectX 12 PCI Express 3.0 DVI-D Dual Link- HDMI- DisplayPort,Biostar,$209.00
https://c1.neweggimages.com/ProductImageCompressAll300/AUJ9S210519Y9Cy1.jpg,GAINWARD GeForce GTX 1050Ti 4GB GDDR5 Gaming Graphics Card-2 x WINDFORCE Fans-4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card-7008MHz Video Memory Frequency-Support PCI Express 3.0,GAINWARD/Card Expert,$275.00
https://c1.neweggimages.com/ProductImageCompressAll300/83-360-189-01.jpg,ABS Master Gaming PC - Intel i5 10400F - GeForce RTX 3060 Ti - 16GB DDR4 3000MHz - 1TB M.2 NVMe SSD,ABS,$1,399.99
https://c1.neweggimages.com/ProductImageCompressAll300/83-360-165-10.jpg,ABS Gladiator Gaming PC - Intel i5 10600K - GeForce RTX 3070 Ti 8GB - G.Skill TridentZ RGB 16GB DDR4 3200MHz - 1TB Intel M.2 NVMe SSD,ABS,$2,099.99
https://c1.neweggimages.com/ProductImageCompressAll300/83-360-194-09.jpg,ABS Master Gaming PC - Intel i5 10400F - GeForce RTX 3060 12GB - 16GB DDR4 3000MHz - 512GB SSD,ABS,$1,199.99
https://c1.neweggimages.com/ProductImageCompressAll300/83-360-164-10.jpg,ABS Gladiator Gaming PC - Intel i7 10700F - EVGA GeForce RTX 3070 Ti FTW3 Ultra Gaming - 16GB DDR4 3000MHz - 1TB M.2 NVMe SSD - EVGA CLC 240MM AIO,ABS,$1,999.99
https://c1.neweggimages.com/ProductImageCompressAll300/14-126-498-14.jpg,ASUS ROG STRIX Radeon RX 6700 XT OC Edition Gaming Graphics Card (AMD RDNA 2- PCIe 4.0- 12GB GDDR6- HDMI 2.1- DisplayPort 1.4a- Axial-tech Fan Design- 2.9-slot- Super Alloy Power II- GPU Tweak II),ASUS,$1,152.99
https://c1.neweggimages.com/ProductImageCompressAll300/83-360-178-01.jpg,ABS Challenger Gaming PC - Ryzen 5 3600 - GeForce GTX 1660 - 16GB DDR4 3000MHz - 512GB SSD,ABS,$1,099.99
https://c1.neweggimages.com/ProductImageCompressAll300/83-360-182-10.jpg,ABS Legend Gaming PC - Intel i7 10700KF - EVGA GeForce RTX 3080 Ti XC3 Ultra Gaming - G.Skill TridentZ RGB 16GB DDR4 3200MHz - 1TB Intel 670P M.2 NVMe SSD - 240MM RGB AIO,ABS,$2,799.99
https://c1.neweggimages.com/ProductImageCompressAll300/83-360-193-01.jpg,ABS Master Gaming PC - Intel i5 10400F - ASUS Dual GeForce RTX 3060 12GB - G.Skill Ripjaw V 16GB DDR4 3200MHz - 512GB SSD,ABS,$1,299.99
https://c1.neweggimages.com/ProductImageCompressAll300/83-360-103-07.jpg,ABS Gladiator Gaming PC - Ryzen 5 5600X - GeForce RTX 3070 - 16GB DDR4 3000MHz - 1TB M.2 NVMe SSD,ABS,$1,699.99
